Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450072271;FONTAINE_BOIS;Particulier;;1;RUE JULIA BARTET;PARIS 14EME ARRONDISSEMENT;NON;2021-11-26T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.303767596274124, 48.82614338754897], ""type"": ""Point""}";48.82614338754897,2.303767596274124
450072131;FONTAINE_BOIS;Bayard D1;;13F;BOULEVARD JULES FERRY;PARIS 11EME ARRONDISSEMENT;NON;2021-11-25T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.36826162982835, 48.86746395987592], ""type"": ""Point""}";48.86746395987592,2.36826162982835
450072635;FONTAINE_BOIS;Bayard BF3;;11;RUE DES MARONITES;PARIS 20EME ARRONDISSEMENT;NON;2019-09-18T04:00:00+02:00;;FERME DEMANDE TIERS;"{""coordinates"": [2.383702976971362, 48.86825229836836], ""type"": ""Point""}";48.86825229836836,2.383702976971362
450072651;FONTAINE_BOIS;Particulier;126;;RUE DE BAGNOLET;PARIS 20EME ARRONDISSEMENT;NON;2021-11-23T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.404864499757201, 48.86063094771796], ""type"": ""Point""}";48.86063094771796,2.404864499757201
450077656;FONTAINE_BOIS;Ville de Paris Bois;;;RUE LE TASSE;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.285763842550808, 48.86221940488875], ""type"": ""Point""}";48.86221940488875,2.285763842550808
450077654;FONTAINE_BOIS;Ville de Paris Bois;;;AVENUE DES MARRONNIERS;PARIS 16EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.284785734263237, 48.86212208747988], ""type"": ""Point""}";48.86212208747988,2.284785734263237
450077664;FONTAINE_BOIS;Wallace Bois;;;AVENUE DES MINIMES;PARIS 12EME ARRONDISSEMENT;NON;2021-03-05T02:00:00+01:00;;APP A REPARER;"{""coordinates"": [2.448517415285701, 48.83828851661994], ""type"": ""Point""}";48.83828851661994,2.448517415285701
450077673;FONTAINE_BOIS;Santa Cole Atlantida;;;COUR DE LA FERME SAINT LAZARE;PARIS 10EME ARRONDISSEMENT;NON;2021-11-22T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.354114956595292, 48.87606730699187], ""type"": ""Point""}";48.87606730699187,2.354114956595292
450077741;FONTAINE_BOIS;;;;AVENUE TRANSVERSALE 3;PARIS 20EME ARRONDISSEMENT;NON;2021-11-30T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.397376536079604, 48.86153302757404], ""type"": ""Point""}";48.86153302757404,2.397376536079604
450077155;FONTAINE_BOIS;Bayard D1;;;RUE ANDRE GIDE;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.313107621395069, 48.83790387687787], ""type"": ""Point""}";48.83790387687787,2.313107621395069
450077161;FONTAINE_BOIS;GHM Bois;;;RUE RIQUET;PARIS 18EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.363645135756634, 48.88981612552855], ""type"": ""Point""}";48.88981612552855,2.363645135756634
450077084;FONTAINE_BOIS;Bayard D1;;77;RUE D ALLERAY;PARIS 15EME ARRONDISSEMENT;NON;2021-11-25T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.308107146350091, 48.8365719712051], ""type"": ""Point""}";48.8365719712051,2.308107146350091
450077466;FONTAINE_BOIS;Particulier;;;SQUARE DU CARDINAL WYSZYNSKI;PARIS 14EME ARRONDISSEMENT;NON;2021-11-25T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.3158585399870733, 48.8361832583353], ""type"": ""Point""}";48.8361832583353,2.3158585399870733
450077490;FONTAINE_BOIS;GHM Bois;;;PLACE RENE CASSIN;PARIS 1ER ARRONDISSEMENT;NON;2021-11-22T02:00:00+01:00;2022-04-30T04:00:00+02:00;;"{""coordinates"": [2.345276505802236, 48.862800382569525], ""type"": ""Point""}";48.862800382569525,2.345276505802236
450077496;FONTAINE_BOIS;Santa Cole Atlantida;;;ALLEE COLETTE HEILBRONNER;PARIS 17EME ARRONDISSEMENT;NON;2021-12-03T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.311840896860081, 48.892873283143174], ""type"": ""Point""}";48.892873283143174,2.311840896860081
450077510;FONTAINE_BOIS;GHM Bois;;;ALLEE DE FONTAINEBLEAU;PARIS 19EME ARRONDISSEMENT;NON;2021-11-24T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.39244282982111, 48.88588107377794], ""type"": ""Point""}";48.88588107377794,2.39244282982111
450077513;FONTAINE_BOIS;Bayard D1;;;RUE COMPANS;PARIS 19EME ARRONDISSEMENT;NON;2021-11-24T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.394464019553562, 48.875902799705116], ""type"": ""Point""}";48.875902799705116,2.394464019553562
450077516;FONTAINE_BOIS;GHM Bois;;;AVENUE DES MARNES;PARIS 19EME ARRONDISSEMENT;NON;2021-11-24T02:00:00+01:00;2022-04-30T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.378816168347119, 48.87896585212169], ""type"": ""Point""}";48.87896585212169,2.378816168347119
450077520;FONTAINE_BOIS;Particulier;;;RUE DU CHALET;PARIS 10EME ARRONDISSEMENT;NON;2021-11-22T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.373266947416914, 48.87392878631645], ""type"": ""Point""}";48.87392878631645,2.373266947416914
450080234;FONTAINE_BOIS;;;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2021-11-30T02:00:00+01:00;2022-04-29T04:00:00+02:00;FERMETURE HIVERNALE;"{""coordinates"": [2.399422965746009, 48.90686172701636], ""type"": ""Point""}";48.90686172701636,2.399422965746009
